#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-08-04T19:12:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-04T19:12:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.add=_r&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/20/catalog&-order=I&-out=Sh2&-out=GlLund&-out=GbLund&-out=GLon&-out=GLat&-out=RA1900&-out=DE1900&-out=Diam&-out=Form&-out=Struct&-out=Bright&-out=Stars&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Sh2	(I4)	[1/313]+ Sharpless HII catalog number	[ucd=meta.id;meta.main]
#Column	GlLund	(F5.1)	[0/3600[ Galactic longitude based on Lund pole	[ucd=pos.galactic.lon]
#Column	GbLund	(F5.1)	[-900/+900] Galactic latitude based on Lund pole	[ucd=pos.galactic.lat]
#Column	GLon	(F5.1)	[0/3600[ Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLat	(F5.1)	[-900/+900] Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	RA1900	(A10)	Hours RA, 1900.0	[ucd=pos.eq.ra;meta.main]
#Column	DE1900	(A9)	Sign Dec, 1900.0	[ucd=pos.eq.dec;meta.main]
#Column	Diam	(I4)	Maximun angular diameter of H II region	[ucd=phys.angSize;src]
#Column	Form	(I1)	[1/3] Classification as to form: 1=circular; 2=elliptical; 3=irregular	[ucd=src.class]
#Column	Struct	(I1)	[1/3] Classification as to structure, from 1=amorphous to 3=filamentary	[ucd=meta.code;src.morph]
#Column	Bright	(I1)	[1/3] Classification as to brightness, from 1=faintest to 3=brightest	[ucd=src.class]
#Column	Stars	(I2)	Number of associated stars with the H II region	[ucd=meta.number]
_RAJ2000,_DEJ2000,Sh2,GlLund,GbLund,GLon,GLat,RA1900,DE1900,Diam,Form,Struct,Bright,Stars
005.466227,+61.738175, 173, 87.2, -0.7,119.5, -0.9,00 16 24.0,+61 11 00,  30,1,2,2, 2
356.705245,+80.938866, 174, 87.5, 18.7,120.3, 18.4,23 42 36.0,+80 23 00,  10,3,2,1, 0
006.830055,+64.703596, 175, 88.0,  2.2,120.4,  2.0,00 21 42.0,+64 09 00,   2,1,2,2, 0
007.913634,+57.285703, 176, 88.1, -5.2,120.3, -5.5,00 26 06.0,+56 44 00,  10,3,2,1, 0
007.887834,+62.469078, 177, 88.3,  0.0,120.7, -0.3,00 25 54.0,+61 55 00,  40,3,1,1, 2
334.734369,+87.761599, 178, 88.4, 25.6,121.4, 25.4,22 34 06.0,+87 15 00, 420,3,2,1, 0
010.105818,+62.866004, 179, 89.4,  0.3,121.7,  0.0,00 34 36.0,+62 19 00,   1,1,1,1, 0
012.194548,+62.929036, 180, 90.3,  0.4,122.6,  0.1,00 42 48.0,+62 23 00,  15,3,1,1, 0
012.319468,+65.212150, 181, 90.3,  2.7,122.7,  2.3,00 43 12.0,+64 40 00,  15,3,1,1, 0
012.569468,+64.744991, 182, 90.5,  2.2,122.8,  1.9,00 44 12.0,+64 12 00,   2,3,1,1, 0
013.499198,+65.709768, 183, 90.8,  3.2,123.2,  2.8,00 47 48.0,+65 10 00,  35,3,2,1, 0
013.211532,+56.610293, 184, 91.0, -5.9,123.1, -6.3,00 47 00.0,+56 04 00,  40,3,2,3, 1
015.000065,+60.989678, 185, 91.7, -1.5,124.0, -1.9,00 53 54.0,+60 27 00, 120,3,2,2, 1
017.212961,+63.134072, 186, 92.6,  0.7,124.9,  0.3,01 02 30.0,+62 36 00,   1,3,2,2, 0
020.782395,+61.856646, 187, 94.4, -0.4,126.7, -0.8,01 16 36.0,+61 20 00,  10,3,3,2, 0
022.663966,+58.366758, 188, 95.9, -3.7,128.1, -4.1,01 24 12.0,+57 51 00,   9,3,3,2, 0
033.035627,+64.171696, 189, 99.2,  3.2,131.6,  2.7,02 04 36.0,+63 42 00,   2,1,1,1, 0
038.346484,+61.442324, 190,102.5,  1.6,134.8,  0.9,02 25 48.0,+61 00 00, 150,3,3,3, 8
039.163884,+59.637358, 191,103.6,  0.1,135.9, -0.6,02 29 12.0,+59 12 00,   2,3,1,3, 0
041.809096,+61.987958, 192,103.7,  2.8,136.1,  2.1,02 39 24.0,+61 34 00,   1,2,1,1, 0
041.885601,+62.004143, 193,103.8,  2.8,136.1,  2.1,02 39 42.0,+61 35 00,   2,2,1,1, 0
041.833010,+61.937803, 194,103.8,  2.7,136.1,  2.1,02 39 30.0,+61 31 00,   2,2,1,2, 0
040.025204,+59.648830, 195,104.0,  0.3,136.3, -0.4,02 32 36.0,+59 13 00,   3,3,1,1, 0
042.830044,+62.231473, 196,104.0,  3.2,136.4,  2.5,02 43 24.0,+61 49 00,   4,1,1,2, 0
040.480935,+59.646042, 197,104.2,  0.4,136.5, -0.3,02 34 24.0,+59 13 00,   5,3,2,1, 0
042.507607,+59.699990, 198,105.1,  0.9,137.4,  0.2,02 42 24.0,+59 17 00,   9,2,2,2, 0
043.639879,+60.409384, 199,105.2,  1.8,137.6,  1.1,02 46 48.0,+60 00 00, 120,3,2,3, 9
047.687810,+62.815491, 200,105.7,  4.8,138.1,  4.1,03 02 30.0,+62 26 00,   6,2,2,1, 1
045.793222,+60.478346, 201,106.1,  2.4,138.5,  1.6,02 55 18.0,+60 05 00,   5,3,2,3, 0
049.714745,+59.633997, 202,108.2,  2.7,140.6,  1.9,03 10 54.0,+59 16 00, 170,3,2,1, 8
050.504288,+54.877790, 203,111.2, -1.0,143.5, -1.9,03 14 30.0,+54 31 00,  45,1,2,1, 0
058.940228,+57.428936, 204,113.4,  3.8,145.8,  3.0,03 47 42.0,+57 08 00,  40,3,2,2, 0
059.034023,+53.194393, 205,116.2,  0.7,148.6, -0.2,03 48 30.0,+52 54 00, 120,3,2,2, 1
060.804482,+51.329528, 206,118.3,  0.0,150.6, -0.9,03 55 42.0,+51 03 00,  50,3,2,3, 1
065.020692,+53.143657, 207,118.9,  3.1,151.2,  2.1,04 12 18.0,+52 54 00,   4,1,2,2, 0
064.941256,+52.977665, 208,119.0,  3.0,151.3,  2.0,04 12 00.0,+52 44 00,   1,1,2,3, 0
062.762542,+51.162946, 209,119.3,  0.7,151.6, -0.2,04 03 30.0,+50 54 00,  14,3,2,2, 0
067.746229,+52.552910, 210,120.4,  3.9,152.8,  2.9,04 23 12.0,+52 20 00,  20,3,1,2, 0
069.240842,+50.939353, 211,122.3,  3.5,154.6,  2.5,04 29 18.0,+50 44 00,   2,3,2,3, 0
070.157349,+50.381015, 212,123.1,  3.6,155.4,  2.6,04 33 00.0,+50 11 00,   5,1,2,3, 0
065.179031,+44.924881, 213,124.8, -2.5,157.1, -3.6,04 13 36.0,+44 41 00,   1,3,2,1, 0
065.395441,+44.372947, 214,125.4, -2.8,157.6, -3.9,04 14 30.0,+44 08 00,   4,1,1,1, 0
064.387309,+42.614943, 215,126.1, -4.6,158.3, -5.7,04 10 36.0,+42 22 00,   2,3,2,2, 0
071.237642,+46.820848, 216,126.3,  1.9,158.6,  0.8,04 37 36.0,+46 38 00,  80,3,2,2, 1
074.697985,+48.005693, 217,126.8,  4.4,159.2,  3.3,04 51 18.0,+47 51 00,   9,2,2,2, 0
085.319055,+52.188411, 218,127.0, 12.4,159.5, 11.3,05 33 18.0,+52 08 00,  70,2,1,1, 0
074.033409,+47.395149, 219,127.0,  3.7,159.4,  2.6,04 48 42.0,+47 14 00,   3,2,2,3, 0
060.159880,+36.617250, 220,128.0,-11.1,160.1,-12.3,03 54 06.0,+36 20 00, 320,3,2,3, 1
075.416721,+46.348830, 221,128.4,  3.8,160.8,  2.7,04 54 18.0,+46 12 00, 120,3,2,1, 0
067.541037,+35.270057, 222,133.2, -7.8,165.4, -9.0,04 23 36.0,+35 03 00,   6,3,2,3, 0
079.299584,+42.211837, 223,133.4,  3.7,165.8,  2.5,05 10 06.0,+42 06 00,  70,3,2,2, 0
081.817178,+42.971187, 224,133.8,  5.7,166.2,  4.4,05 20 06.0,+42 53 00,  30,3,3,2, 1
081.751583,+40.621623, 225,135.7,  4.3,168.1,  3.1,05 20 00.0,+40 32 00,  10,3,2,2, 0
077.778436,+37.992610, 226,136.2,  0.3,168.5, -1.0,05 04 18.0,+37 52 00,   3,3,2,3, 0
079.971994,+38.955179, 227,136.4,  2.3,168.7,  1.0,05 13 00.0,+38 51 00,  20,3,2,2, 0
078.396354,+37.453387, 228,136.9,  0.4,169.2, -0.9,05 06 48.0,+37 20 00,   8,3,2,3, 0
079.079116,+34.463366, 229,139.7, -0.9,172.0, -2.2,05 09 42.0,+34 21 00,  65,3,2,3, 1
080.626542,+34.131925, 230,140.7,  0.0,173.0, -1.3,05 15 54.0,+34 02 00, 300,3,2,2, 0
084.831537,+35.924953, 231,141.0,  3.9,173.4,  2.6,05 32 36.0,+35 52 00,  12,3,1,2, 0
085.611210,+36.200769, 232,141.1,  4.6,173.5,  3.2,05 35 42.0,+36 09 00,  40,2,2,2, 2
084.679475,+35.793080, 233,141.1,  3.7,173.4,  2.4,05 32 00.0,+35 44 00,   2,3,2,2, 0
082.032419,+34.435144, 234,141.1,  1.2,173.4, -0.2,05 21 30.0,+34 21 00,  12,3,2,3, 4
085.255827,+35.854181, 235,141.3,  4.1,173.6,  2.8,05 34 18.0,+35 48 00,  10,3,2,3, 0
080.640968,+33.365070, 236,141.3, -0.4,173.6, -1.7,05 16 00.0,+33 16 00,  55,3,2,3, 5
082.856045,+34.277219, 237,141.6,  1.6,173.9,  0.3,05 24 48.0,+34 12 00,   7,3,2,3, 1
065.458264,+19.537712, 238,144.1,-19.6,176.2,-20.9,04 16 00.0,+19 18 00,   1,3,2,3, 0
067.822497,+18.116690, 239,146.8,-18.7,178.9,-20.1,04 25 30.0,+17 54 00,   5,3,2,2, 0
085.251383,+28.103722, 240,147.9,  0.1,180.2, -1.3,05 34 42.0,+28 03 00, 180,1,3,2, 0
091.030452,+30.247783, 241,148.6,  5.5,180.9,  4.1,05 57 42.0,+30 15 00,  10,3,2,3, 0
087.964076,+27.010706, 242,150.1,  1.6,182.4,  0.2,05 45 36.0,+26 59 00,   7,1,2,2, 0
084.843835,+23.290721, 243,151.8, -2.7,184.1, -4.2,05 33 18.0,+23 14 00,   6,3,2,1, 0
083.628056,+21.952384, 244,152.3, -4.4,184.6, -5.8,05 28 30.0,+21 53 00,   5,2,3,3, 0
060.639377, +4.128584, 245,154.3,-32.9,186.4,-34.3,03 57 18.0,+03 51 00, 720,3,2,2, 2
075.539968,+14.095695, 246,154.8,-15.1,187.0,-16.6,04 56 30.0,+13 57 00,  65,3,1,1, 0
092.126436,+21.619964, 247,156.6,  2.3,188.9,  0.8,06 02 30.0,+21 38 00,   9,1,1,2, 1
094.161165,+22.500255, 248,156.7,  4.3,189.1,  2.9,06 10 36.0,+22 32 00,  50,2,3,3, 4
095.242648,+23.089801, 249,156.7,  5.5,189.0,  4.0,06 14 54.0,+23 08 00,  80,3,2,2, 6
070.047178, +7.362835, 250,157.4,-23.4,189.6,-24.8,04 34 48.0,+07 10 00,  10,3,2,1, 0
068.207621, +5.862733, 251,157.7,-25.7,189.9,-27.2,04 27 30.0,+05 39 00,  35,3,3,1, 0
092.413932,+20.500444, 252,157.7,  2.0,190.0,  0.5,06 03 42.0,+20 31 00,  40,3,2,3, 1
096.433015,+20.028111, 253,159.9,  5.1,192.3,  3.6,06 19 48.0,+20 05 00,   5,3,1,1, 0
093.087100,+18.043776, 254,160.2,  1.3,192.5, -0.1,06 06 30.0,+18 04 00,  11,2,2,2, 1
093.286347,+17.975171, 255,160.3,  1.5,192.7,  0.0,06 07 18.0,+18 00 00,   3,1,2,3, 0
093.161013,+17.943053, 256,160.3,  1.4,192.6, -0.1,06 06 48.0,+17 58 00,   1,3,2,2, 0
093.211361,+17.975899, 257,160.3,  1.4,192.6, -0.1,06 07 00.0,+18 00 00,   3,1,2,3, 0
093.385791,+17.924203, 258,160.4,  1.5,192.7,  0.1,06 07 42.0,+17 57 00,   1,3,2,2, 0
092.905707,+17.445507, 259,160.6,  0.9,192.9, -0.6,06 05 48.0,+17 28 00,   2,1,1,1, 0
073.782806, +5.661731, 260,161.2,-21.2,193.4,-22.7,04 49 48.0,+05 30 00,  22,3,3,1, 0
092.238344,+15.801905, 261,161.8, -0.5,194.1, -1.9,06 03 12.0,+15 49 00,  45,3,2,2, 1
076.688490, +6.167872, 262,162.4,-18.5,194.6,-20.0,05 01 24.0,+06 02 00,  20,3,2,1, 0
080.436160, +8.399039, 263,162.4,-14.1,194.7,-15.6,05 16 18.0,+08 18 00,  22,2,2,2, 1
083.802219, +9.933437, 264,162.8,-10.5,195.1,-12.0,05 29 42.0,+09 52 00, 390,1,1,2, 9
079.651593, +7.439821, 265,162.8,-15.3,195.1,-16.8,05 13 12.0,+07 20 00,  70,3,2,2, 0
094.707668,+15.277909, 266,163.4,  1.4,195.7, -0.1,06 13 06.0,+15 19 00,   1,2,2,3, 0
093.972275,+14.268325, 267,163.9,  0.3,196.2, -1.2,06 10 12.0,+14 18 00,   4,1,1,2, 0
092.562715,+13.331964, 268,164.1, -1.4,196.4, -2.8,06 04 36.0,+13 21 00,  60,3,1,1, 0
093.642694,+13.821501, 269,164.2, -0.2,196.5, -1.7,06 08 54.0,+13 51 00,   4,3,2,3, 0
092.557425,+12.815323, 270,164.5, -1.6,196.8, -3.1,06 04 36.0,+12 50 00,   1,3,2,3, 0
093.727671,+12.353937, 271,165.5, -0.8,197.8, -2.3,06 09 18.0,+12 23 00,   2,1,2,3, 0
093.752498,+12.337029, 272,165.5, -0.8,197.8, -2.3,06 09 24.0,+12 22 00,   1,2,1,2, 0
100.202111, +9.907967, 273,170.6,  3.7,202.9,  2.2,06 35 18.0,+10 00 00, 250,3,2,3,11
112.278753,+13.261891, 274,172.9, 15.7,205.2, 14.3,07 23 30.0,+13 28 00,   8,3,3,3, 0
097.928714, +4.929592, 275,174.0, -0.6,206.3, -2.1,06 26 24.0,+05 00 00, 100,1,2,3, 9
081.867173, -3.965242, 276,174.4,-19.0,206.7,-20.5,05 22 30.0,-04 03 00,1200,2,2,2, 0
085.181784, -2.447136, 277,174.6,-15.3,206.9,-16.8,05 35 42.0,-02 30 00, 120,3,2,3, 1
079.950965, -5.663628, 278,175.0,-21.5,207.4,-22.9,05 14 54.0,-05 46 00,  50,3,2,2, 0
083.833970, -4.800887, 279,176.1,-17.6,208.5,-19.1,05 30 24.0,-04 52 00,  20,3,2,3, 1
098.580563, +2.539868, 280,176.4, -1.2,208.7, -2.6,06 29 06.0,+02 37 00,  40,3,2,2, 4
083.727499, -5.466557, 281,176.7,-18.0,209.1,-19.5,05 30 00.0,-05 32 00,  60,3,2,3, 3
099.495686, +1.514355, 282,177.7, -0.8,210.1, -2.3,06 32 48.0,+01 36 00,  35,3,2,2, 1
099.662988, +0.712711, 283,178.5, -1.1,210.9, -2.5,06 33 30.0,+00 48 00,   3,3,1,1, 0
101.258422, +0.230744, 284,179.7,  0.1,212.0, -1.3,06 39 54.0,+00 20 00,  80,2,2,2, 0
103.801500, -0.510139, 285,181.5,  2.1,213.8,  0.6,06 50 06.0,-00 23 00,   1,1,2,3, 0
103.638542, -4.508777, 286,185.0,  0.1,217.3, -1.4,06 49 36.0,-04 23 00,   6,2,1,1, 0
104.886023, -4.803904, 287,185.8,  1.0,218.1, -0.4,06 54 36.0,-04 40 00,  12,3,2,2, 0
107.141249, -4.308344, 288,186.4,  3.2,218.7,  1.8,07 03 36.0,-04 09 00,   1,3,2,3, 0
101.485810, -7.338440, 289,186.5, -3.1,218.9, -4.6,06 41 06.0,-07 14 00,  11,2,1,1, 1
133.546186, +8.921139, 290,187.1, 32.7,219.1, 31.3,08 48 48.0,+09 18 00,  17,2,2,2, 0
103.854898, -8.027651, 291,188.2, -1.4,220.6, -2.8,06 50 36.0,-07 54 00,   8,2,1,2, 0
106.107495,-10.448963, 292,191.4, -0.5,223.7, -1.9,06 59 42.0,-10 18 00,  21,3,2,3, 1
105.448781,-11.309492, 293,191.9, -1.5,224.2, -2.9,06 57 06.0,-11 10 00,  11,1,1,2, 1
109.143751, -9.443790, 294,191.9,  2.6,224.2,  1.2,07 11 48.0,-09 16 00,   7,3,2,3, 0
105.672419,-11.461598, 295,192.1, -1.4,224.4, -2.7,06 58 00.0,-11 19 00,   8,1,1,1, 1
106.450219,-11.218870, 296,192.2, -0.6,224.6, -2.0,07 01 06.0,-11 04 00, 200,3,2,3,10
106.314262,-12.334317, 297,193.2, -1.2,225.5, -2.6,07 00 36.0,-12 11 00,   7,3,2,3, 1
109.658184,-13.198687, 298,195.5,  1.2,227.8, -0.1,07 14 00.0,-13 01 00,  22,3,3,3, 1
112.665656,-15.292796, 299,198.7,  2.8,231.0,  1.5,07 26 06.0,-15 05 00,   1,3,1,1, 0
112.764623,-15.410358, 300,198.9,  2.8,231.1,  1.5,07 26 30.0,-15 12 00,   3,2,1,1, 0
107.453505,-18.478562, 301,199.1, -3.1,231.5, -4.4,07 05 24.0,-18 19 00,   9,2,2,3, 0
112.924530,-16.978531, 302,200.3,  2.1,232.6,  0.9,07 27 12.0,-16 46 00,  21,2,1,2, 4
103.507476,-22.425061, 303,200.9, -8.2,233.4, -9.5,06 49 48.0,-22 18 00,  90,2,2,2, 0
100.860860,-24.133306, 304,201.4,-11.2,233.9,-12.4,06 39 18.0,-24 02 00, 200,3,2,2, 0
112.533735,-18.525085, 305,201.5,  1.1,233.8, -0.2,07 25 42.0,-18 19 00,   4,3,2,3, 0
112.653022,-19.109519, 306,202.0,  0.9,234.3, -0.4,07 26 12.0,-18 54 00,  30,3,2,1, 4
113.883207,-18.753859, 307,202.3,  2.1,234.6,  0.8,07 31 06.0,-18 32 00,   6,3,2,3, 0
103.540528,-23.942122, 308,202.3, -0.9,234.8,-10.1,06 50 00.0,-23 49 00,  35,3,3,2, 1
113.025292,-19.429546, 309,202.5,  1.0,234.8, -0.2,07 27 42.0,-19 13 00,  12,2,1,2, 0
108.263998,-24.586383, 310,204.9, -5.3,237.3, -6.5,07 08 54.0,-24 25 00, 480,3,2,2, 2
118.086620,-26.441060, 311,210.9,  1.4,243.2,  0.4,07 48 12.0,-26 11 00,  45,3,2,3, 2
134.790511,-25.688557, 312,219.2, 14.0,251.2, 13.1,08 54 48.0,-25 18 00, 720,3,2,2, 0
193.381821,-22.859898, 313,272.5, 39.6,303.6, 40.0,12 48 12.0,-22 19 00,  12,1,2,2, 0

