#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-06T11:26:00 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-06T11:26:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=B/vsx/vsx&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#RESOURCE=yCat_102027
#Name: B/vsx
#Title: AAVSO International Variable Star Index VSX (Watson+, 2006-)
#INFO	ivoid=ivo://cds.vizier/b/vsx	    IVOID of underlying data collection
#INFO	creator=Watson C.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/B/vsx	    Dataset landing page
#INFO	publication_date=2025-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	B_vsx_vsx:
#Name: B/vsx/vsx
#Title: Variable Star indeX, Version 2025-08-24
#Column	OID	(I8)	Internal identifier, can be used to link out to the VSX database (1)	[ucd=meta.id]
#Column	n_OID	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Name	(a30)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	V	(I1)	Variability flag (2) (VarFlag)	[ucd=meta.note]
#Column	Type	(a30)	? Variability type, ariability type, as in GCVS catalog Variability type (see details of VSX type list)	[ucd=meta.id]
#Column	l_max	(A1)	? Limit flag on max (LimitFlagOnMax)	[ucd=meta.code.error]
#Column	max	(F7.3)	[-6.0/25.2]? Magnitude at maximum, or amplitude (MagMax)	[ucd=phot.mag]
#Column	u_max	(A1)	? Uncertainty flag on max (MaxUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_max	(a7)	? Passband on max magnitude (4) (MaxPassband)	[ucd=meta.note]
#Column	f_min	(A1)	? Flag to indicate an amplitude (MinIsAmplitude)	[ucd=meta.code]
#Column	l_min	(A1)	? Limit flag on min (LimitFlagOnMin)	[ucd=meta.code.error]
#Column	min	(F7.3)	[-0.02/28.0]? Magnitude at minimum, or amplitude (MagMin)	[ucd=phot.mag]
#Column	u_min	(A1)	? Uncertainty flag on min (MinUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_min	(a8)	? Passband on min magnitude (MinPassband)	[ucd=meta.note]
#Column	Epoch	(F14.5)	? Epoch of maximum or minimum (HJD)	[ucd=time.epoch]
#Column	u_Epoch	(A1)	? Uncertainty flag on epoch (EpochUncertaintyFlag)	[ucd=meta.code.error;time.epoch]
#Column	l_Period	(A1)	? Limit flag on period (3) (LimitFlagOnPeriod)	[ucd=meta.code.error;time.period]
#Column	Period	(F19.12)	[0.0/27400.0]? Period of the variable in days	[ucd=time.period]
#Column	u_Period	(A1)	? Uncertainty flag on Period (3) (PeriodUncertaintyFlag)	[ucd=meta.code.error;time.period]
#Column	Sp	(a29)	? Spectral type (SpectralType)	[ucd=src.spType]
#Column	RAJ2000	(F9.5)	[0.0/360.0] Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-89.93/89.91] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
OID|n_OID|Name|V|Type|l_max|max|u_max|n_max|f_min|l_min|min|u_min|n_min|Epoch|u_Epoch|l_Period|Period|u_Period|Sp|RAJ2000|DEJ2000
 2975909| |Gaia DR3 4781785075746331776  |0|ACV|roAm|roAp|SXARI           | |  9.420| |G      | | |  9.460| |G       |              | | |                   | |B                            |063.82711|-52.16369
   40143|B|NSV 1519                      |1|                              | |  9.310| |V      | | |  9.340| |V       |              | | |                   | |M2                           |063.83625|+52.99581
  236321|B|Omi 2 Eri B                   |2|CST                           | |  9.520| |V      | | |       | |        |              | | |                   | |DA4                          |063.84079|-07.65808
   36156|B|V1139 Tau                     |0|LB:                           | |  7.870| |V      |Y| |  0.370| |V       | 2452758.50000| | |    80.500000000000| |M2                           |063.85054|+24.07847
   35908|B|V0891 Tau                     |0|WTTS                          | |  6.920| |V      | | |  7.000| |V       |              | | |                   | |G8V                          |063.85746|+06.19964
   35791|B|V0774 Tau                     |0|BY:                           | |  6.280| |V      | | |  6.370| |V       |              | | |                   | |G0IV-V                       |063.87000|+06.18686
  300455|B|ASAS J041529+3129.9           |0|EW                            | |  9.755| |V      |Y| |  0.090| |V       |              | | |     0.358405000000| |G0                           |063.87030|+31.49876
 2976297| |Gaia DR3 234061565719868544   |0|L                             | |  8.010| |G      | | |  8.160| |G       |              | | |                   | |M                            |063.87691|+47.00795
 2976375| |Gaia DR3 469486109244322176   |0|ROT                           | |  8.380| |G      | | |  8.410| |G       |              | | |                   | |K                            |063.88503|+58.52227
 2976419| |Gaia DR3 270581569558563200   |0|ACV|roAm|roAp|SXARI           | |  9.890| |G      | | |  9.940| |G       |              | | |                   | |B                            |063.89216|+49.66265
  278443|B|V1028 Per                     |0|LB                            | |  9.350| |R1     | | | 10.000| |R1      |              | | |                   | |                             |063.91713|+49.31689
   54367|B|NSV 15932                     |0|MISC                          | |  9.110| |V      |Y| |  0.290| |V       | 2452028.30000| | |    30.860000000000| |M5                           |063.91792|+06.22972
   36116|B|V1099 Tau                     |0|ELL:                          | |  6.310| |V      |Y| |  0.020| |V       |              | | |     1.302900000000| |F3V                          |063.94283|+15.40069
 2977161| |Gaia DR3 472043710726821248   |0|ACV|roAm|roAp|SXARI           | |  8.710| |G      | | |  8.770| |G       |              | | |                   | |B                            |063.99365|+59.94091
  305179|B|HIP 19889                     |0|VAR                           | |  8.620| |V      |Y| |  0.011| |V       |              | | |     0.150410000000| |F2/F3V                       |063.99410|-24.00820
   13672|B|gam Dor                       |0|GDOR                          | |  4.200| |V      | | |  4.280| |V       |              | | |     0.757000000000| |F0V-F5V                      |064.00662|-51.48664
 2977272| |Gaia DR3 4886127698430053248  |0|DSCT|GDOR|SXPHE               | |  9.280| |G      | | |  9.310| |G       |              | | |     0.047381500000| |A                            |064.01056|-29.15559
  305180|B|HIP 19903                     |0|VAR                           | |  7.570| |V      |Y| |  0.008| |V       |              | | |     0.086750000000| |A3                           |064.04420|+34.86880
 2977540| |Gaia DR3 164798139962321408   |0|E                             | |  9.430| |G      | | |  9.570| |G       |              | | |     2.572500000000| |A                            |064.04618|+29.12093
 2977541| |Gaia DR3 4895829651594369024  |0|DSCT|GDOR|SXPHE               | |  9.270| |G      | | |  9.320| |G       |              | | |     0.048619900000| |A                            |064.04624|-25.45975
 2977584| |Gaia DR3 3203353047929529600  |0|DSCT|GDOR|SXPHE               | |  9.680| |G      | | |  9.710| |G       |              | | |                   | |F                            |064.05248|-05.00691
  249739|B|HD 27007                      |0|VAR                           | |  8.600| |V      | | |       | |        |              | | |                   | |G5                           |064.05700|+01.24078
 2977739| |Gaia DR3 3312349254794744960  |0|ROT                           | |  9.960| |G      | | |  9.990| |G       |              | | |                   | |F                            |064.07045|+16.28554
  150330|B|V0337 Cam                     |0|EB                            | |  9.950| |R1     | | | 10.400| |R1      | 2451523.46600| | |     0.756775000000| |A2                           |064.08329|+68.97261
   27325|B|TT Ret                        |0|ACV                           | |  6.370| |V      |Y| |  0.015| |V       | 2448502.29440| | |     2.835070000000| |ApEuCr(Sr)                   |064.08742|-60.94847
   40101|B|NSV 1477                      |0|SR                            | |  9.700| |V      | | | 10.000| |V       | 2451364.00000| | |   260.300000000000| |M2                           |064.09329|+82.46294
 2978083| |Gaia DR3 4889476948287578752  |0|ACV|roAm|roAp|SXARI           | |  9.930| |G      | | |  9.980| |G       |              | | |                   | |A                            |064.11476|-27.02184
 2978157| |Gaia DR3 3203448228701897728  |0|SR|M                          | |  8.120| |G      | | |  8.230| |G       |              | | |    43.050000000000| |M                            |064.12505|-04.40791
 2978202| |Gaia DR3 4886238852183574656  |0|ROT                           | |  9.040| |G      | | |  9.080| |G       |              | | |                   | |G                            |064.13166|-28.41041
   25549|B|SY Per                        |0|SRA                           | |  8.700| |V      | | | 12.300| |V       | 2437635.00000| | |   474.000000000000| |C6,4e(N3e)                   |064.13829|+50.62628
   36001|B|V0984 Tau                     |0|BY                            | |  9.150| |V      |Y| |  0.040| |V       |              | | |                   | |K0V                          |064.13950|+21.90747
   40136|B|NSV 1512                      |1|LB                            | | 10.000| |pg     | | | 10.600| |pg      |              | | |                   | |M2e                          |064.14300|+74.11400
  136125|B|IU Eri                        |0|DSCT                          | |  7.450| |V      | | |  7.480| |V       |              | | |     0.068900000000| |A3III                        |064.14992|-10.08575
   27329|B|TX Ret                        |0|DSCTC                         | |  8.600| |B      |Y| |  0.030| |B       |              | | |                   | |F0III                        |064.16388|-64.31556
 2978456| |Gaia DR3 475197934708518528   |0|DSCT|GDOR|SXPHE               | |  9.870| |G      | | |  9.890| |G       |              | | |     0.847310000000| |A                            |064.16574|+61.39157
 2978598| |Gaia DR3 4895489043507741440  |0|ROT                           | |  9.600| |G      | | |  9.640| |G       |              | | |                   | |K                            |064.18412|-26.76591
  469916|B|HD 276179                     |0|ACV                           | |  9.840| |CV     | | |  9.860| |CV      | 2454359.12000| | |     1.279900000000| |B8Si                         |064.20437|+41.40386
   40159|B|NSV 1535                      |0|VAR                           | |  8.180| |V      |Y| |  0.012| |V       |              | | |     1.842940000000| |M0                           |064.22640|+57.24120
  701162| |EPIC 210514318                |0|VAR                           | |  9.810| |Kp     |Y| |  0.001| |Kp      |              | | |     3.639989000000| |                             |064.22925|+15.64969
 2979027| |Gaia DR3 5096568382830372992  |0|DSCT|GDOR|SXPHE               | |  9.370| |G      | | |  9.430| |G       |              | | |     0.091893200000| |F                            |064.23886|-17.05939
 2979086| |Gaia DR3 4615856607767049600  |0|ROT                           | |  9.380| |G      | | |  9.410| |G       |              | | |                   | |G                            |064.24818|-82.78417
  698842| |EPIC 210470970                |0|VAR                           | |  9.646| |Kp     |Y| |  0.002| |Kp      |              | | |     3.232231000000| |                             |064.24922|+14.90954
 2979346| |Gaia DR3 274994974877051008   |0|ROT                           | |  8.140| |G      | | |  8.170| |G       |              | | |                   | |G                            |064.28255|+53.36655
   54370|B|NSV 15935                     |1|                              | |  6.630| |V      |Y| |  0.150| |V       |              | | |                   | |G6V                          |064.30129|+50.86581
   54373|B|NSV 15938                     |1|                              | |  4.930| |V      |Y| |  0.010| |V       |              | | |                   | |A3m                          |064.31542|+20.57861
   26110|B|V0586 Per                     |0|BE                            | |  8.000| |Hp     | | |  8.110| |Hp      |              | | |                   | |B7                           |064.31821|+46.23056
   26109|B|V0585 Per                     |0|SRD                           | |  7.360| |V      | | |  7.400| |V       |              | | |   107.900000000000| |K2                           |064.32037|+46.69669
   25595|B|AR Per                        |0|RRAB/BL:                      | |  9.920| |V      | | | 10.830| |V       | 2427236.91790| | |     0.425548920000| |A8-F6                        |064.32167|+47.40017
    4664|B|DH Cam                        |0|ACV                           | |  6.700| |Hp     | | |  6.740| |Hp      | 2448501.53000| | |     3.803100000000| |Ap Sr                        |064.33783|+57.17825
 2979872| |Gaia DR3 3253955875869693824  |0|DSCT|GDOR|SXPHE               | |  9.370| |G      | | |  9.440| |G       |              | | |                   | |F                            |064.35764|-01.54005
 2980004| |Gaia DR3 271394211733269760   |0|ROT                           | |  9.930| |G      | | |  9.980| |G       |              | | |                   | |G                            |064.37553|+50.61781
   16480|B|CU Hyi                        |0|BY:                           | |  9.200| |Hp     | | |  9.440| |Hp      | 2448505.12900| | |    15.615000000000| |G6V                          |064.39804|-71.97756
  249979|B|HD 26929                      |0|VAR                           | |  8.690| |V      | | |       | |        |              | | |                   | |F8                           |064.40237|+47.25244
   35835|B|V0818 Tau                     |0|EA/RS                         | |  8.300| |V      | | |  8.450| |V       | 2452500.04710| | |     5.609215900000| |G6V+K6V                      |064.41225|+16.94786
 2980267| |Gaia DR3 270533946961862400   |0|DSCT|GDOR|SXPHE               | |  9.600| |G      | | |  9.630| |G       |              | | |                   | |A                            |064.41441|+49.41290
 2980288| |Gaia DR3 3259106881689370752  |0|DSCT|GDOR|SXPHE               | |  9.660| |G      | | |  9.690| |G       |              | | |                   | |A                            |064.41694|+02.36660
   40180|B|NSV 1556                      |1|                              | |  5.860| |V      | | |  5.900| |V       |              | | |                   | |B9IV+...                     |064.41779|-63.25542
 2980332| |Gaia DR3 4682104554162594304  |0|ACV|roAm|roAp|SXARI           | |  9.790| |G      | | |  9.820| |G       |              | | |                   | |F                            |064.42220|-58.16135
    4587|B|ZZ Cam                        |0|LB                            | |  7.000| |V      | | |  7.300| |V       |              | | |                   | |M0-M5                        |064.43308|+62.34661
   76051|B|ASAS J041746-1006.2           |0|MISC                          | |  9.740| |V      |Y| |  0.310| |V       | 2451933.80000| | |    33.210000000000| |M6                           |064.44125|-10.10400
 2980528| |Gaia DR3 166417269618471168   |0|DSCT|GDOR|SXPHE               | |  9.690| |G      | | |  9.740| |G       |              | | |     0.187681800000| |A                            |064.44930|+31.59779
 2980600| |Gaia DR3 271875866544138624   |0|ACV|roAm|roAp|SXARI           | |  9.520| |G      | | |  9.570| |G       |              | | |                   | |B                            |064.45829|+52.26299
   54381|B|NSV 15946                     |0|VAR                           | |  7.450| |V      |Y| |  0.019| |V       |              | | |     2.848190000000| |F0V                          |064.46130|-34.18650
   54382|B|NSV 15947                     |1|                              | |  3.780| |M      | | |  4.040| |M       |              | | |                   | |B8.5Vp                       |064.47375|-33.79889
   13992|B|RS Eri                        |0|M                             | |  7.900| |V      | | | 12.800| |V       | 2453823.00000| | |   299.000000000000| |M7e                          |064.48071|-18.50706
   40164|B|NSV 1540                      |2|                              | |  6.900| |V      | | |       | |        |              | | |                   | |A0                           |064.48208|+58.79078
 2980865| |Gaia DR3 4868409171627123456  |0|ROT                           | |  8.550| |G      | | |  8.590| |G       |              | | |                   | |K                            |064.49290|-38.42903
   40215|B|NSV 1591                      |1|                              | |  6.530| |B      |Y| |  0.600| |B       |              | | |                   | |K2III+A9                     |064.49696|-80.21403
   65734|B|NSVS J0418017+711356          |0|M                             | |  9.806| |R1     |Y| |  2.535| |R1      |              | | |   341.000000000000| |                             |064.50689|+71.23236
  136128|B|V1232 Tau                     |0|RS                            | |  7.530| |V      |Y| |  0.050| |V       |              | | |     8.968000000000| |G4V+G8V                      |064.50767|+18.25681
  698982| |EPIC 210713011                |0|VAR                           | |  9.812| |Kp     |Y| |  0.002| |Kp      |              | | |     0.833096000000| |                             |064.51123|+18.55139
  242053|B|2MASS J04180744+5905527       |0|EA                            | |  9.800| |CR     |Y| |  0.035| |CR      | 2453658.07900| | |     3.049520000000| |G0                           |064.53100|+59.09797
   26069|B|V0545 Per                     |0|SPB                           | |  6.220| |V      |Y| |  0.040| |V       |              | | |     0.380290000000| |B9V                          |064.53379|+42.14117
 2981231| |Gaia DR3 3202619471812049536  |0|ROT                           | |  9.230| |G      | | |  9.260| |G       |              | | |                   | |F                            |064.54495|-04.91495
   54376|B|V1313 Tau                     |0|RS                            | |  9.360| |V      | | |  9.600| |V       | 2452624.38000| | |     1.895000000000| |K0                           |064.54496|+23.28467
 2981287| |Gaia DR3 271890091475715712   |0|ACV|roAm|roAp|SXARI           | |  9.810| |G      | | |  9.850| |G       |              | | |                   | |B                            |064.55364|+52.40249
   26212|B|b Per                         |0|EA+ELL                        | |  4.570| |V      | | |  5.000| |V       | 2459571.90000| | |   704.480000000000| |A2V+F+F                      |064.56092|+50.29550
   14189|B|GZ Eri                        |0|SR                            | |  5.940| |Hp     | | |  6.100| |Hp      |              | | |                   | |G8III                        |064.56700|-20.71525
 2981391| |Gaia DR3 164941072177351424   |0|DSCT|GDOR|SXPHE               | |  9.610| |G      | | |  9.640| |G       |              | | |     0.670120000000| |B                            |064.56999|+29.80703
   54377|B|NSV 15942                     |0|VAR                           | |  9.410| |V      |Y| |  0.004| |Kp      |              | | |    12.452600000000| |K2                           |064.57333|+15.00944
   36002|B|V0985 Tau                     |0|BY                            | |  9.600| |V      |Y| |  0.020| |V       |              | | |                   | |K3V                          |064.58029|+16.08833
   54383|B|NSV 15948                     |2|CST                           | |  9.660| |V      | | |       | |        |              | | |                   | |                             |064.59142|-18.40925
   54378|B|NSV 15943                     |1|BY:                           | |  9.970| |V      | | |       | |        |              | | |                   | |K                            |064.59167|+17.42167
 2981607| |Gaia DR3 570155778970465536   |0|ACV|roAm|roAp|SXARI           | |  9.770| |G      | | |  9.810| |G       |              | | |                   | |F                            |064.59835|+83.19679
 2981645| |Gaia DR3 227543832588121216   |0|L                             | |  9.920| |G      | | | 10.100| |G       |              | | |                   | |G                            |064.60337|+39.71384
   26111|B|V0587 Per                     |0|LB:                           | |  8.400| |Hp     | | |  8.520| |Hp      |              | | |                   | |M2                           |064.62696|+49.86467
 2981965| |Gaia DR3 4884687028959710080  |0|ROT                           | |  9.650| |G      | | |  9.690| |G       |              | | |                   | |K                            |064.64726|-30.49147
   35909|B|V0892 Tau                     |0|INA                           | |  5.550| |K      | | |  6.070| |K       |              | | |                   | |A0Ve                         |064.66917|+28.32097
   65739|B|NSVS J0418477+784400          |0|L:                            | |  9.151| |R1     |Y| |  0.541| |R1      |              | | |   230.000000000000| |M5/6                         |064.69873|+78.73335
 2982419| |Gaia DR3 3191255778620904192  |0|DSCT|GDOR|SXPHE               | |  9.520| |G      | | |  9.600| |G       |              | | |                   | |A                            |064.71176|-10.30857
   76063|B|ASAS J041852+1255.5           |0|ED|ESD                        | |  8.640| |V      |Y| |  0.030| |V       | 2452626.30000| | |     4.126900000000| |B8                           |064.71717|+12.92483
  697173| |EPIC 211044435                |0|VAR                           | |  9.842| |Kp     |Y| |  0.003| |Kp      |              | | |     4.750992000000| |                             |064.72466|+23.68108
  699409| |EPIC 210433394                |0|VAR                           | |  9.556| |Kp     |Y| |  0.001| |Kp      |              | | |     2.139235000000| |                             |064.73128|+14.19646
   35910|B|V0893 Tau                     |0|BY                            | |  8.630| |V      |Y| |  0.029| |V       |              | | |                   | |G9V                          |064.74158|+19.90669
 2982691| |Gaia DR3 229540167747103360   |0|DSCT|GDOR|SXPHE               | |  9.610| |G      | | |  9.660| |G       |              | | |                   | |A                            |064.74810|+44.02333
 2982953| |Gaia DR3 166098930940383744   |0|DSCT|GDOR|SXPHE               | |  9.690| |G      | | |  9.740| |G       |              | | |                   | |A                            |064.78292|+30.46109
   54384|B|NSV 15949                     |1|BY:                           | |  8.460| |V      |Y| |  0.030| |V       |              | | |                   | |G8V                          |064.78333|+17.52472
  416603|B|ASAS J041908-0810.3           |0|SR|EC|ESD                     | |  8.794| |Ic     |Y| |  0.079| |Ic      | 2452546.40000| | |    47.860000000000| |                             |064.78368|-08.17228
   65740|B|NSVS J0419084+573821          |0|L:                            | |  9.553| |R1     |Y| |  0.535| |R1      |              | | |   139.000000000000| |                             |064.78491|+57.63921
   36041|B|V1024 Tau                     |0|ACV                           | |  5.020| |U      |Y| |  0.030| |U       |              | | |                   | |B9Vsp                        |064.85875|+21.14231
 1546368| |NGCA-V43                      |0|DSCT                          | |  7.440| |V      |Y| |  0.006| |TESS    | 2459021.34100| | |     0.039932000000| |A0                           |064.86938|+74.63600
   35741|B|V0724 Tau                     |0|ACV                           | |  5.360| |V      | | |  5.400| |V       | 2442299.51000| | |     1.568960000000| |A0p(Si)                      |064.90296|+21.77350
 2983875| |Gaia DR3 3310201908586060544  |0|ROT                           | |  9.520| |G      | | |  9.550| |G       |              | | |                   | |K                            |064.90364|+12.62432
    4643|B|CI Cam                        |0|HMXB/XN+PULS:                 | |  9.500| |V      | | | 11.900| |V       |              | | |    19.407000000000| |B0/2+WD:                     |064.92558|+55.99936
 2984066| |Gaia DR3 227553418955014272   |0|DSCT|GDOR|SXPHE               | |  8.400| |G      | | |  8.460| |G       |              | | |     0.175133600000| |A                            |064.92995|+39.91553
   25596|B|AS Per                        |0|DCEP                          | |  9.170| |V      | | | 10.140| |V       | 2441723.93400| | |     4.972516000000| |F8-G1                        |064.94525|+48.95328
   40177|B|NSV 1553                      |1|                              | |  3.600| |V      | | |  3.670| |V       |              | | |                   | |K0IIIab                      |064.94833|+15.62764
 1499919| |PNV J04195320+4233026         |0|UV                            | | 10.000| |CR     | | | 17.800| |r       |              | | |                   | |M8.5Ve                       |064.96721|+42.55844
  305181|B|HIP 20210                     |0|VAR                           | |  7.520| |V      |Y| |  0.015| |V       |              | | |     6.922810000000| |K5III                        |064.97220|-17.46410
   54387|B|NSV 15952                     |1|BY:                           | |  6.880| |V      |Y| |  0.010| |V       |              | | |                   | |F8V                          |064.97875|+16.52250
  701368| |EPIC 210468979                |0|GDOR                          | |  9.272| |Kp     |Y| |  0.008| |Kp      |              | | |     0.323422000000| |                             |064.98310|+14.87412
   35500|B|V0483 Tau                     |0|DSCTC                         | |  5.550| |V      | | |  5.590| |V       |              | | |     0.054000000000| |F0IV                         |064.99042|+14.03519
 2984559| |Gaia DR3 271832470195107072   |0|ACV|roAm|roAp|SXARI           | |  9.570| |G      | | |  9.600| |G       |              | | |                   | |B                            |064.99379|+52.26876
 2984565| |Gaia DR3 270335794349363840   |0|DSCT|GDOR|SXPHE               | |  9.960| |G      | | |  9.990| |G       |              | | |     0.091441900000| |B                            |064.99448|+49.35123
 2984662| |Gaia DR3 227917563462950784   |0|E                             | |  9.860| |G      | | | 10.130| |G       |              | | |     1.712810000000| |A                            |065.00603|+41.15366
 2984670| |Gaia DR3 232647177151008256   |0|VAR                           | |  9.900| |G      | | |  9.910| |G       |              | | |     0.029221200000| |G                            |065.00756|+44.51249
 2984671| |Gaia DR3 4675079258977257856  |0|ROT                           | |  9.740| |G      | | |  9.790| |G       |              | | |                   | |G                            |065.00800|-64.79956
 2984727| |Gaia DR3 227677114013811328   |0|ACV|roAm|roAp|SXARI           | |  9.690| |G      | | |  9.840| |G       |              | | |                   | |A                            |065.01605|+40.49936
  305182|B|HIP 20231                     |0|VAR                           | |  6.160| |V      |Y| |  0.009| |V       |              | | |    17.677210000000| |K5                           |065.04140|+31.95320
   40174|B|NSV 1550                      |0|HB                            | |  5.530| |V      | | |  5.570| |V       | 2447943.49000| | |     9.895720000000| |B2IV                         |065.04796|+50.92094
   26112|B|V0588 Per                     |0|SRB                           | |  7.770| |Hp     | | |  7.930| |Hp      |              | | |                   | |M                            |065.05012|+37.20072
   36003|B|V0986 Tau                     |0|BY                            | |  7.470| |V      |Y| |  0.050| |V       |              | | |     4.005450000000| |F9V+                         |065.05404|+19.23347
   14120|B|DQ Eri                        |0|SRB                           | |  6.840| |V      | | |  7.050| |V       |              | | |    30.000000000000|:|M4III                        |065.06375|-02.62856
 2985110| |Gaia DR3 550316981432485504   |0|ACV|roAm|roAp|SXARI           | |  8.590| |G      | | |  8.610| |G       |              | | |                   | |A                            |065.06677|+75.21871
   25539|B|RW Per                        |0|EA/D                          | |  9.680| |V      | | | 11.360| |V       | 2436701.08540| | |    13.198904000000| |A5IIIe+G0III                 |065.06987|+42.31439
   13607|B|RZ Dor                        |0|M                             | |  9.350| |V      | | | 14.200| |V       | 2451904.00000| | |   159.200000000000| |                             |065.08217|-54.33681
 2985416| |Gaia DR3 232955903699342976   |0|ACV|roAm|roAp|SXARI           | |  9.010| |G      | | |  9.040| |G       |              | | |                   | |A                            |065.10479|+45.44324
 2985475| |Gaia DR3 233034896737650944   |0|ACV|roAm|roAp|SXARI           | |  8.970| |G      | | |  9.010| |G       |              | | |                   | |A                            |065.11256|+45.99034
   65754|B|NSVS J0420302+452246          |0|L:                            | |  9.697| |R1     |Y| |  0.551| |R1      |              | | |    84.000000000000| |                             |065.12583|+45.37944
   54386|B|NSV 15951                     |0|VAR                           | |  7.230| |V      |Y| |  0.020| |V       |              | | |   326.797390000000| |K2                           |065.13250|+43.23810
   35713|B|V0696 Tau                     |0|DSCTC                         | |  5.220| |V      | | |  5.280| |V       |              | | |     0.036000000000| |A9/F0IV-V                    |065.15129|+15.09544
 2985761| |Gaia DR3 232722463636177536   |0|DSCT|GDOR|SXPHE               | |  9.320| |G      | | |  9.340| |G       |              | | |                   | |A                            |065.15176|+45.05128
 2985797| |Gaia DR3 3283364444659834752  |0|ACV|roAm|roAp|SXARI           | |  9.850| |G      | | |  9.880| |G       |              | | |                   | |A                            |065.15713|+03.70929
   36157|B|V1140 Tau                     |0|ACV                           | |  7.970| |Hp     | | |  8.020| |Hp      | 2448502.42600| | |     2.779290000000| |A0,Si                        |065.15746|+28.89200
   14135|B|EK Eri                        |0|BY                            | |  6.080| |V      | | |  6.420| |V       | 2453372.67900| | |   617.600000000000| |G8 III-IV                    |065.16100|-06.24600
   76091|B|ASAS J042041-0144.4           |0|EA                            | |  8.620| |V      | | |  9.160| |V       | 2451942.75800| | |     6.476490000000| |G3.5                         |065.17071|-01.73983
   14111|B|DG Eri                        |0|SRB                           | |  6.940| |V      | | |  7.140| |V       | 2440623.00000| | |    82.000000000000| |M4III                        |065.17229|-16.82997
   54385|B|NSV 15950                     |1|                              | |  9.230| |V      | | |       | |        |              | | |                   | |B3III                        |065.17500|+50.24889
   14137|B|EM Eri                        |0|SPB                           | |  5.840| |V      |Y| |  0.060| |V       |              | | |     3.800000000000| |B5III                        |065.17850|-07.59250
  692659| |EPIC 210746879                |0|VAR                           | |  9.992| |Kp     |Y| |  0.013| |Kp      |              | | |    12.195844000000| |                             |065.17888|+19.06061
   40196|B|NSV 1572                      |0|EB                            | |  9.220| |V      | | |  9.870| |V       | 2451868.98000| | |     0.513853000000| |A4V                          |065.19796|-45.25792
    4563|B|TW Cam                        |0|RVB                           | |  8.980| |V      | | | 10.270| |V       | 2438607.80000| | |    87.220000000000| |F8Ib-G8Ib                    |065.19846|+57.44125
  697937| |EPIC 210715174                |0|VAR                           | |  9.934| |Kp     |Y| |  0.002| |Kp      |              | | |    10.468999000000| |                             |065.20691|+18.58279
 2986248| |Gaia DR3 166290245960629248   |0|ACV|roAm|roAp|SXARI           | |  8.450| |G      | | |  8.470| |G       |              | | |                   | |B                            |065.22016|+31.24548
   54388|B|NSV 15953                     |1|                              | |  8.090| |V      | | |       | |        |              | | |                   | |G6III                        |065.22333|+50.27167
   40181|B|NSV 1557                      |1|                              | |  7.130| |V      | | |       | |        |              | | |                   | |K5III                        |065.23958|+50.25483
 2986466| |Gaia DR3 276940045307747328   |0|L                             | |  9.450| |G      | | |  9.660| |G       |              | | |                   | |M                            |065.24946|+56.83800
 2986485| |Gaia DR3 4869267924568297856  |0|ROT                           | |  9.990| |G      | | | 10.030| |G       |              | | |                   | |K                            |065.25220|-35.85574
   27338|B|VV Ret                        |0|LB                            | |  8.590| |Hp     | | |  8.770| |Hp      |              | | |                   | |M3III                        |065.25988|-59.16400
   76097|B|ASAS J042103-2629.5           |0|EC                            | |  9.990| |V      |Y| |  0.360| |V       | 2451868.82000| | |     0.395864000000| |                             |065.26183|-26.49100
 2986555| |Gaia DR3 227479957834695680   |0|DSCT|GDOR|SXPHE               | |  9.200| |G      | | |  9.230| |G       |              | | |     0.080301000000| |F                            |065.26457|+39.49704
  410588|B|ASAS J042106-6240.1           |0|MISC                          | |  8.687| |Ic     |Y| |  0.102| |Ic      | 2452577.30000| | |    72.640000000000| |K0/2III:                     |065.27595|-62.66780
    8759|B|V0407 Cep                     |0|DSCTC                         | |  8.060| |Hp     | | |  8.150| |Hp      | 2448500.02600| | |     0.073664600000| |A3                           |065.28075|+81.42844
 2986738| |Gaia DR3 472248666566497024   |0|DSCT|GDOR|SXPHE               | |  9.660| |G      | | |  9.690| |G       |              | | |                   | |F                            |065.29064|+61.05156
  250183|B|HD 27679                      |0|VAR                           | |  9.430| |V      | | |       | |        |              | | |                   | |G5V                          |065.29304|-24.53917
